date,unit_sales
2012-08-31,117
2012-09-01,97
2012-09-02,105
2012-09-03,104
2012-09-04,102
2012-09-05,126
2012-09-06,113
2012-09-07,96
2012-09-08,118
2012-09-09,130
2012-09-10,119
2012-09-11,93
2012-09-12,104
2012-09-13,121
2012-09-14,101
2012-09-15,113
2012-09-16,116
2012-09-17,99
2012-09-18,108
2012-09-19,76
2012-09-20,98
2012-09-21,106
2012-09-22,96
2012-09-23,125
2012-09-24,95
2012-09-25,105
2012-09-26,110
2012-09-27,124
2012-09-28,95
2012-09-29,121
2012-09-30,110
2012-10-01,100
2012-10-02,114
2012-10-03,112
2012-10-04,104
2012-10-05,111
2012-10-06,106
2012-10-07,112
2012-10-08,117
2012-10-09,127
2012-10-10,98
2012-10-11,132
2012-10-12,92
2012-10-13,110
2012-10-14,117
2012-10-15,115
2012-10-16,106
2012-10-17,110
2012-10-18,107
2012-10-19,107
2012-10-20,121
2012-10-21,117
2012-10-22,106
2012-10-23,123
2012-10-24,117
2012-10-25,122
2012-10-26,121
2012-10-27,106
2012-10-28,109
2012-10-29,123
2012-10-30,121
2012-10-31,115
2012-11-01,117
2012-11-02,129
2012-11-03,111
2012-11-04,122
2012-11-05,115
2012-11-06,115
2012-11-07,129
2012-11-08,126
2012-11-09,127
2012-11-10,132
2012-11-11,119
2012-11-12,126
2012-11-13,117
2012-11-14,123
2012-11-15,119
2012-11-16,122
2012-11-17,127
2012-11-18,113
2012-11-19,143
2012-11-20,112
2012-11-21,111
2012-11-22,135
2012-11-23,131
2012-11-24,130
2012-11-25,130
2012-11-26,124
2012-11-27,116
2012-11-28,126
2012-11-29,119
2012-11-30,136
2012-12-01,125
2012-12-02,119
2012-12-03,124
2012-12-04,132
2012-12-05,123
2012-12-06,120
2012-12-07,132
2012-12-08,132
2012-12-09,125
2012-12-10,126
2012-12-11,133
2012-12-12,117
2012-12-13,118
2012-12-14,125
2012-12-15,130
2012-12-16,136
2012-12-17,148
2012-12-18,143
2012-12-19,133
2012-12-20,135
2012-12-21,125
2012-12-22,136
2012-12-23,133
2012-12-24,140
2012-12-25,129
2012-12-26,143
2012-12-27,153
2012-12-28,137
2012-12-29,143
2012-12-30,146
2012-12-31,136
2013-01-01,142
2013-01-02,141
2013-01-03,142
2013-01-04,134
2013-01-05,142
2013-01-06,147
2013-01-07,157
2013-01-08,153
2013-01-09,165
2013-01-10,136
2013-01-11,153
2013-01-12,147
2013-01-13,167
2013-01-14,138
2013-01-15,138
2013-01-16,141
2013-01-17,126
2013-01-18,142
2013-01-19,140
2013-01-20,150
2013-01-21,152
2013-01-22,168
2013-01-23,159
2013-01-24,144
2013-01-25,142
2013-01-26,156
2013-01-27,138
2013-01-28,170
2013-01-29,164
2013-01-30,148
2013-01-31,136
2013-02-01,167
2013-02-02,153
2013-02-03,167
2013-02-04,139
2013-02-05,149
2013-02-06,156
2013-02-07,156
2013-02-08,152
2013-02-09,163
2013-02-10,146
2013-02-11,156
2013-02-12,159
2013-02-13,163
2013-02-14,166
2013-02-15,148
2013-02-16,144
2013-02-17,172
2013-02-18,163
2013-02-19,153
2013-02-20,176
2013-02-21,162
2013-02-22,173
2013-02-23,162
2013-02-24,182
2013-02-25,180
2013-02-26,160
2013-02-27,172
2013-02-28,169
2013-03-01,177
2013-03-02,154
2013-03-03,171
2013-03-04,175
2013-03-05,147
2013-03-06,153
2013-03-07,145
2013-03-08,163
2013-03-09,173
2013-03-10,181
2013-03-11,167
2013-03-12,182
2013-03-13,153
2013-03-14,150
2013-03-15,166
2013-03-16,171
2013-03-17,167
2013-03-18,147
2013-03-19,167
2013-03-20,155
2013-03-21,175
2013-03-22,172
2013-03-23,159
2013-03-24,163
2013-03-25,158
2013-03-26,168
2013-03-27,178
2013-03-28,159
2013-03-29,174
2013-03-30,164
2013-03-31,162
2013-04-01,168
2013-04-02,159
2013-04-03,164
2013-04-04,158
2013-04-05,190
2013-04-06,170
2013-04-07,163
2013-04-08,172
2013-04-09,169
2013-04-10,168
2013-04-11,177
2013-04-12,178
2013-04-13,165
2013-04-14,165
2013-04-15,168
2013-04-16,148
2013-04-17,155
2013-04-18,184
2013-04-19,187
2013-04-20,168
2013-04-21,176
2013-04-22,174
2013-04-23,201
2013-04-24,182
2013-04-25,169
2013-04-26,161
2013-04-27,154
2013-04-28,172
2013-04-29,163
2013-04-30,156
2013-05-01,164
2013-05-02,159
2013-05-03,187
2013-05-04,179
2013-05-05,170
2013-05-06,185
2013-05-07,171
2013-05-08,161
2013-05-09,185
2013-05-10,175
2013-05-11,159
2013-05-12,167
2013-05-13,160
2013-05-14,155
2013-05-15,178
2013-05-16,188
2013-05-17,155
2013-05-18,174
2013-05-19,162
2013-05-20,163
2013-05-21,162
2013-05-22,159
2013-05-23,168
2013-05-24,159
2013-05-25,170
2013-05-26,167
2013-05-27,165
2013-05-28,158
2013-05-29,161
2013-05-30,174
2013-05-31,172
2013-06-01,157
2013-06-02,167
2013-06-03,173
2013-06-04,149
2013-06-05,171
2013-06-06,159
2013-06-07,171
2013-06-08,157
2013-06-09,147
2013-06-10,148
2013-06-11,165
2013-06-12,167
2013-06-13,155
2013-06-14,170
2013-06-15,147
2013-06-16,163
2013-06-17,151
2013-06-18,156
2013-06-19,163
2013-06-20,154
2013-06-21,158
2013-06-22,172
2013-06-23,156
2013-06-24,170
2013-06-25,150
2013-06-26,166
2013-06-27,175
2013-06-28,136
2013-06-29,152
2013-06-30,166
2013-07-01,158
2013-07-02,163
2013-07-03,153
2013-07-04,160
2013-07-05,157
2013-07-06,170
2013-07-07,161
2013-07-08,161
2013-07-09,154
2013-07-10,153
2013-07-11,153
2013-07-12,161
2013-07-13,153
2013-07-14,160
2013-07-15,177
2013-07-16,165
2013-07-17,153
2013-07-18,168
2013-07-19,152
2013-07-20,135
2013-07-21,145
2013-07-22,136
2013-07-23,151
2013-07-24,155
2013-07-25,171
2013-07-26,157
2013-07-27,152
2013-07-28,162
2013-07-29,131
2013-07-30,156
2013-07-31,161
2013-08-01,138
2013-08-02,164
2013-08-03,156
2013-08-04,148
2013-08-05,159
2013-08-06,175
2013-08-07,154
2013-08-08,154
2013-08-09,147
2013-08-10,143
2013-08-11,160
2013-08-12,143
2013-08-13,152
2013-08-14,146
2013-08-15,155
2013-08-16,154
2013-08-17,161
2013-08-18,145
2013-08-19,147
2013-08-20,140
2013-08-21,145
2013-08-22,154
2013-08-23,157
2013-08-24,140
2013-08-25,158
2013-08-26,163
2013-08-27,153
2013-08-28,168
2013-08-29,141
2013-08-30,137
2013-08-31,131
2013-09-01,164
2013-09-02,155
2013-09-03,148
2013-09-04,152
2013-09-05,137
2013-09-06,173
2013-09-07,150
2013-09-08,150
2013-09-09,156
2013-09-10,153
2013-09-11,151
2013-09-12,141
2013-09-13,153
2013-09-14,167
2013-09-15,162
2013-09-16,165
2013-09-17,144
2013-09-18,139
2013-09-19,147
2013-09-20,149
2013-09-21,160
2013-09-22,132
2013-09-23,164
2013-09-24,147
2013-09-25,145
2013-09-26,139
2013-09-27,133
2013-09-28,158
2013-09-29,150
2013-09-30,137
2013-10-01,137
2013-10-02,146
2013-10-03,167
2013-10-04,147
2013-10-05,135
2013-10-06,148
2013-10-07,148
2013-10-08,124
2013-10-09,150
2013-10-10,149
2013-10-11,158
2013-10-12,170
2013-10-13,163
2013-10-14,149
2013-10-15,141
2013-10-16,178
2013-10-17,153
2013-10-18,153
2013-10-19,152
2013-10-20,155
2013-10-21,152
2013-10-22,148
2013-10-23,148
2013-10-24,153
2013-10-25,149
2013-10-26,147
2013-10-27,156
2013-10-28,152
2013-10-29,170
2013-10-30,129
2013-10-31,166
2013-11-01,168
2013-11-02,135
2013-11-03,153
2013-11-04,153
2013-11-05,143
2013-11-06,150
2013-11-07,147
2013-11-08,175
2013-11-09,168
2013-11-10,171
2013-11-11,166
2013-11-12,148
2013-11-13,154
2013-11-14,165
2013-11-15,148
2013-11-16,168
2013-11-17,159
2013-11-18,158
2013-11-19,169
2013-11-20,167
2013-11-21,159
2013-11-22,174
2013-11-23,152
2013-11-24,170
2013-11-25,170
2013-11-26,161
2013-11-27,168
2013-11-28,153
2013-11-29,175
2013-11-30,164
2013-12-01,161
2013-12-02,177
2013-12-03,160
2013-12-04,154
2013-12-05,152
2013-12-06,175
2013-12-07,156
2013-12-08,187
2013-12-09,149
2013-12-10,187
2013-12-11,173
2013-12-12,170
2013-12-13,166
2013-12-14,176
2013-12-15,172
2013-12-16,184
2013-12-17,174
2013-12-18,175
2013-12-19,170
2013-12-20,174
2013-12-21,178
2013-12-22,158
2013-12-23,162
2013-12-24,184
2013-12-25,179
2013-12-26,175
2013-12-27,178
2013-12-28,182
2013-12-29,173
2013-12-30,171
2013-12-31,182
2014-01-01,170
2014-01-02,185
2014-01-03,164
2014-01-04,192
2014-01-05,187
2014-01-06,185
2014-01-07,193
2014-01-08,200
2014-01-09,194
2014-01-10,166
2014-01-11,172
2014-01-12,179
2014-01-13,186
2014-01-14,191
2014-01-15,179
2014-01-16,189
2014-01-17,180
2014-01-18,182
2014-01-19,174
2014-01-20,179
2014-01-21,175
2014-01-22,180
2014-01-23,200
2014-01-24,181
2014-01-25,217
2014-01-26,196
2014-01-27,193
2014-01-28,183
2014-01-29,199
2014-01-30,187
2014-01-31,194
2014-02-01,219
2014-02-02,193
2014-02-03,206
2014-02-04,188
2014-02-05,195
2014-02-06,213
2014-02-07,190
2014-02-08,214
2014-02-09,204
2014-02-10,191
2014-02-11,204
2014-02-12,208
2014-02-13,204
2014-02-14,183
2014-02-15,192
2014-02-16,197
2014-02-17,199
2014-02-18,206
2014-02-19,202
2014-02-20,187
2014-02-21,205
2014-02-22,207
2014-02-23,207
2014-02-24,213
2014-02-25,211
2014-02-26,207
2014-02-27,202
2014-02-28,186
2014-03-01,208
2014-03-02,206
2014-03-03,207
2014-03-04,191
2014-03-05,194
2014-03-06,215
2014-03-07,205
2014-03-08,212
2014-03-09,206
2014-03-10,206
2014-03-11,215
2014-03-12,201
2014-03-13,207
2014-03-14,202
2014-03-15,203
2014-03-16,204
2014-03-17,210
2014-03-18,203
2014-03-19,220
2014-03-20,199
2014-03-21,206
2014-03-22,204
2014-03-23,223
2014-03-24,211
2014-03-25,219
2014-03-26,194
2014-03-27,212
2014-03-28,218
2014-03-29,210
2014-03-30,220
2014-03-31,204
2014-04-01,224
2014-04-02,233
2014-04-03,206
2014-04-04,205
2014-04-05,225
2014-04-06,226
2014-04-07,205
2014-04-08,206
2014-04-09,208
2014-04-10,197
2014-04-11,201
2014-04-12,200
2014-04-13,203
2014-04-14,210
2014-04-15,213
2014-04-16,226
2014-04-17,201
2014-04-18,221
2014-04-19,209
2014-04-20,210
2014-04-21,217
2014-04-22,199
2014-04-23,214
2014-04-24,212
2014-04-25,216
2014-04-26,213
2014-04-27,235
2014-04-28,204
2014-04-29,205
2014-04-30,204
2014-05-01,205
2014-05-02,204
2014-05-03,222
2014-05-04,224
2014-05-05,204
2014-05-06,202
2014-05-07,215
2014-05-08,204
2014-05-09,216
2014-05-10,212
2014-05-11,194
2014-05-12,225
2014-05-13,227
2014-05-14,203
2014-05-15,205
2014-05-16,212
2014-05-17,212
2014-05-18,215
2014-05-19,229
2014-05-20,207
2014-05-21,200
2014-05-22,194
2014-05-23,201
2014-05-24,207
2014-05-25,226
2014-05-26,202
2014-05-27,210
2014-05-28,207
2014-05-29,219
2014-05-30,232
2014-05-31,201
2014-06-01,201
2014-06-02,217
2014-06-03,213
2014-06-04,224
2014-06-05,211
2014-06-06,202
2014-06-07,211
2014-06-08,216
2014-06-09,213
2014-06-10,210
2014-06-11,215
2014-06-12,216
2014-06-13,218
2014-06-14,210
2014-06-15,202
2014-06-16,205
2014-06-17,215
2014-06-18,195
2014-06-19,206
2014-06-20,198
2014-06-21,202
2014-06-22,215
2014-06-23,204
2014-06-24,202
2014-06-25,188
2014-06-26,208
2014-06-27,207
2014-06-28,222
2014-06-29,197
2014-06-30,202
